chr	summit
V	29304836
IV	37567113
IV	8219603
IV	9116851
IV	35434239
III	1317191
X	11853070
II	4520282
III	13768659
V	15326111
X	18462039
V	17453153
V	27173161
V	10964771
I	2469649
I	34482891
X	32973254
I	24622709
IV	28316877
V	16966187
I	2600159
V	30247217
X	13761235
II	5749927
I	16846436
I	9366711
III	33890405
IV	52588566
IV	29009222
III	26264884
IV	47509429
X	13161377
V	30209797
III	5508206
V	17668531
I	47297398
X	8144064
III	117426
II	32069122
V	45256944
IV	29012230
V	32101427
IV	1679122
III	36229059
I	19436268
V	42451611
II	31482454
III	36497815
I	20139178
III	28819451
III	19725312
X	1634242
I	10754265
V	14738112
II	44467362
X	4243779
X	15762450
I	8619712
III	19949520
IV	39483752
I	10267690
IV	29341119
III	27899165
III	31648011
X	28213953
X	30227782
II	40135205
III	28815447
I	9736375
IV	45523368
II	18632479
I	4849853
V	37325373
I	11029779
X	19519525
I	34689957
II	6202612
V	46651504
I	36326119
II	17895501
I	46086096
X	3627528
V	28237998
II	12511747
I	15199955
III	42684817
III	45362563
II	16494178
III	20945970
III	17872767
X	13156724
IV	2434794
II	40133779
III	40516896
III	21808889
II	3874520
IV	53823020
V	28292913
II	39313486
III	12131181
I	16905324
IV	44349152
X	13153297
X	8177383
V	5918219
I	42634882
IV	7052740
III	10336139
X	11854309
III	1506099
V	15807817
X	17690563
IV	22784989
X	1323862
IV	53257825
III	1367426
III	14279126
III	13824933
I	38066189
V	485640
II	20457030
V	13247017
III	24435699
II	5547004
IV	18766215
III	46012464
III	907548
III	14561127
III	19063398
IV	21512210
X	15320501
X	4635264
I	31335270
IV	10611503
V	487853
V	31065439
II	39743928
II	7419545
III	34464380
X	13156381
V	6199477
V	38693956
V	9577959
X	31106633
I	21385018
I	42963302
III	28208882
III	35463095
II	8230787
II	39209149
II	42671234
V	29185844
III	38456438
I	42135034
V	32086716
I	47202803
III	27888333
IV	7877765
V	31852664
III	26637382
III	38130190
IV	14787701
I	5065179
I	9547602
III	38384457
II	40006842
I	45857153
V	1983883
X	17792296
I	34172666
I	22062917
I	47299036
I	9917051
I	38594966
III	42588784
V	28053165
I	1587873
IV	1679638
IV	24296608
II	31589708
III	26236275
I	44865987
I	31954120
III	35200972
II	39316769
V	30688820
V	41897761
II	6704604
I	27252284
I	13790142
IV	10332668
X	18081720
I	6340693
X	2790184
I	19516557
I	5496992
III	43129533
X	12263499
I	35690854
IV	45513561
X	11837866
III	11310602
V	10250335
III	11764762
III	13917646
X	15763623
X	25489478
X	21543961
IV	41967497
I	31958807
IV	28273180
I	19066085
I	9549068
III	45647734
II	10597226
I	8891692
V	3128621
III	13932870
III	32369373
III	1300410
II	34315773
V	43667189
X	241873
II	41640775
II	40109358
I	45624721
I	9956807
II	34294402
I	5924998
X	5475193
V	15329693
III	23615530
V	43038063
I	25735907
IV	4641889
III	37131417
X	30462842
X	4469842
V	31542545
X	11846604
I	41504154
IV	21015158
I	45358256
I	7387385
I	25545436
III	3551867
V	19673546
I	34134373
IV	42212366
IV	19704776
I	27319478
I	27320404
X	13759867
II	13120945
II	8027292
IV	1163964
I	25736990
II	761113
I	44104490
IV	19303030
IV	38344989
X	27692028
III	28479276
III	11722533
X	7431261
IV	50457743
X	23778583
III	2868255
I	47936171
X	14818358
IV	38298459
II	711123
IV	6372960
IV	52906841
I	47245256
III	27704246
I	47692405
I	2288627
V	23401279
II	42237323
I	2762065
X	6679454
IV	3142412
II	27191406
I	7399227
X	15525360
I	33242082
IV	28310291
IV	21075936
V	17010182
I	41809391
III	13801614
V	41888852
II	39444794
II	39246089
III	11805607
II	44883630
I	42964220
X	8110419
II	46209643
IV	3448688
V	29411878
II	44571717
X	10364960
III	24751874
II	44461891
II	42231993
I	15597166
V	24050667
V	12411996
IV	31646823
II	28764876
V	47018614
X	7481459
IV	23571820
X	17484710
V	42426198
V	29319947
IV	2433249
III	37356641
II	21553726
II	29560826
I	8743525
III	31664348
I	41811817
I	4523796
IV	41816638
III	30486710
II	16034228
II	13128998
III	28813112
V	4955724
V	400697
I	15045150
I	14114625
I	19155054
X	1787757
V	14424284
V	14465946
III	37424927
V	40073761
I	6388290
V	8945462
II	5750815
IV	45499063
I	34168149
V	5377067
I	34174563
III	13823466
V	2734928
IV	35714583
I	34778960
III	27773511
I	47493070
III	7953059
III	39508832
III	1360098
II	29533697
IV	2324413
III	27889555
IV	14329294
I	13759778
X	9659603
X	1790523
II	29336657
IV	15580577
I	9530227
V	19033219
V	47582665
III	11838017
III	12222269
II	39210926
III	34432021
X	9271230
IV	53201383
II	47578354
X	26044250
II	39612133
X	3622781
III	34473192
III	42603663
IV	38453715
III	18398920
V	46540575
III	12144870
I	29437841
I	8694279
I	1909196
I	39267724
III	28755142
II	1815995
IV	21070995
III	11754899
I	2580695
II	42685447
III	38325149
III	17693627
V	10265490
V	28289476
I	42033083
V	7712552
V	32937059
I	39859147
I	34186302
V	21161280
V	31062550
III	27406434
X	3513931
I	5288394
V	2927159
III	10562903
II	39358077
I	1847547
III	13391229
V	3177785
IV	10192626
X	23778315
I	1821111
II	44707907
I	19169238
X	29358680
II	39226035
IV	3131676
V	28798661
IV	34411854
I	15178807
IV	26953163
III	5801531
V	42422864
IV	19061518
I	16457966
III	8697912
IV	8393882
II	1830776
X	4642699
X	2366585
V	46471788
X	26251278
III	38331556
V	8691758
I	34198293
V	39733943
IV	6765210
III	44987123
IV	13473102
IV	15132885
III	12856951
III	34047893
I	2402680
IV	11540899
I	32233822
II	12579589
I	48077488
IV	42067311
V	4023861
X	4154937
II	46647603
III	44270971
V	41990120
I	47482586
IV	53730488
I	35283017
III	15355343
I	15192778
X	3511747
III	44637044
III	2172221
IV	39705589
V	42002492
IV	1512772
III	42533772
I	2771866
I	6127693
V	49175696
I	19327323
II	43395302
X	11758907
IV	42020024
X	10091268
II	15773206
X	4934230
IV	31410714
IV	29013074
IV	53485764
III	6385968
V	43596357
I	27297784
III	42751600
III	2544234
II	11116397
IV	41725237
I	47257041
IV	25223952
I	26418487
II	42233805
III	14645425
IV	13071849
II	11684996
X	3681179
III	8733715
II	29353072
I	8889483
I	10749077
X	18082106
I	25829578
V	30258305
III	31668490
III	31713147
I	15174492
III	17699157
I	9758270
II	1947689
I	40091462
IV	50149924
III	21162724
IV	46629386
III	42604051
III	29038475
II	41206393
III	13929554
V	43439762
IV	29561987
III	10564845
II	29658410
III	45131834
X	4242519
II	6579007
III	13891511
III	2604930
IV	6691345
IV	30782915
I	8920952
X	17017730
II	44036848
V	31050602
V	42442452
II	4344030
II	40900706
V	40070956
IV	12559120
IV	14961646
I	24830850
V	29893729
X	20265038
IV	26213423
IV	49987937
III	34378533
IV	47115194
II	4507515
II	18610303
I	11044785
II	69550
IV	24307808
X	27242960
I	2350627
I	42346416
V	41528713
X	17702939
II	7081258
I	35268433
V	2752298
I	5422533
X	10365996
II	1756205
IV	44805435
V	4756764
II	20128180
III	22032536
II	15656366
III	17327024
I	2387816
II	18637126
III	12135325
III	27891961
I	18978918
I	28905745
V	43869231
I	15191032
III	31462246
II	34784916
X	18456010
II	16176878
III	45651383
III	25461352
IV	24334581
V	12407967
I	24354803
II	20316321
I	19513579
X	8671973
III	14292142
V	20703492
III	12742250
X	5977913
I	18290866
IV	20538797
I	5418423
I	24244402
I	35701449
V	10967593
I	16651201
II	1952317
I	8697082
IV	48625
IV	13072433
III	31666096
I	12587787
I	42296232
II	2201698
II	17436358
I	45289808
V	16555319
V	8674734
III	38358809
III	4807624
II	23829213
IV	45021282
X	33161576
III	17560775
I	40084639
IV	26280529
V	41900025
II	17887914
II	27883078
V	5375386
II	46470116
I	31055196
V	10952109
I	38097651
V	40584154
I	48018474
I	6294870
I	11214564
II	8374502
II	8464050
I	4692076
I	15074491
III	12845462
X	12407590
II	17402219
II	17283957
III	11563688
I	499527
V	24710824
X	2866623
III	5412827
II	48056913
III	15579297
IV	5305159
IV	13066315
I	5200245
III	43987839
III	41135498
X	30470313
III	32393765
II	5739651
X	11875674
IV	48828612
III	45433363
III	146417
I	2786589
I	2389751
V	38572366
V	36574913
IV	27646374
IV	37021307
IV	5238542
I	43181957
III	38311041
I	4709210
III	38546414
I	4315402
X	2360275
III	37760370
III	42661240
III	11820453
II	8441503
II	31539278
III	10388887
V	48003359
III	38679819
I	36837095
IV	30479807
I	5096783
X	11874611
V	8875390
V	8917883
III	34458376
X	10089228
III	9091566
IV	19459411
III	27800346
III	33901353
III	45472437
IV	48080785
I	15072928
X	33256541
I	5263596
III	10712827
III	14615666
III	15377112
IV	14771686
IV	36808236
III	15620891
I	36038000
III	27846512
III	2606715
X	28342417
IV	5459153
I	14734127
IV	24419067
V	15337945
X	4697590
III	20183035
V	34673106
III	30716740
V	3126712
IV	46156197
IV	3116514
V	3484864
III	27568834
I	7727702
X	33194230
II	40113761
II	13127868
III	34125741
I	34160254
IV	26415643
IV	49509024
I	15531389
X	17710764
I	39757984
I	47486585
X	33309679
I	47483649
V	11810366
IV	33315443
I	17239628
II	46346626
II	13698647
I	15371935
II	9445305
V	40735842
I	4697310
I	1449633
X	5107885
I	9582169
I	33891926
III	15943664
III	31168709
III	38415711
V	10918916
III	1708365
X	19079899
I	21713282
I	26261884
V	6995370
V	29850350
IV	51935092
V	26113570
I	3550412
X	997556
I	28102699
III	18969673
IV	15227517
I	8675853
I	15065487
III	43424745
I	9959516
I	37280962
III	12179772
X	13615060
I	5293463
I	26343148
IV	48944951
III	41824082
III	20630447
I	21325222
II	6398501
III	12871547
X	29129664
I	2356064
III	13816924
IV	459463
IV	380670
X	29410167
III	21163070
IV	5250285
I	9416926
V	40064243
I	7452848
II	37451037
III	27419855
V	25466057
V	40086446
III	11431098
I	47699337
V	8701639
II	39964063
I	35484516
V	42135629
IV	26337132
I	109961
I	8269791
III	5676365
V	19060780
II	6581862
IV	6798873
III	36836304
V	12984015
II	29950712
V	42427404
I	8265388
III	41008994
V	28655336
X	3020248
V	6280889
I	28091705
II	31038417
X	19074116
I	31581710
I	34165649
III	1863665
III	19617871
III	41006515
X	27599062
III	33444643
V	21159434
V	30257469
II	18611723
III	35345349
III	36759861
V	14469591
X	11835604
III	8324957
X	25349205
V	46057350
I	24729284
I	47501972
V	12406952
I	5484218
III	26668789
IV	5541103
III	1327245
I	2763919
X	26041862
I	10136609
I	47319016
IV	44806479
I	46316514
IV	41290348
II	27874422
II	31587572
III	37715352
II	46724096
IV	34248361
X	17400469
I	35502501
I	8686589
III	34475169
X	9082352
I	45873266
I	27264764
II	29945170
III	19198368
V	40813414
I	1450302
X	1595035
X	27628292
II	8527911
X	3027280
X	1324417
V	5773176
III	31888549
II	46448168
II	23838716
IV	12383346
II	7079777
II	12034335
II	31656527
III	5503185
IV	24050749
I	37273241
II	22190528
II	39383818
X	19938018
I	6305427
X	27101819
IV	13053191
V	4752706
III	32156236
I	2511767
II	1067016
IV	3139941
V	39925159
X	11876502
V	29368803
III	13366137
IV	33462759
III	15103125
IV	21018785
V	2378952
X	19900559
IV	39497049
V	43392480
IV	45911958
III	4860790
IV	48086428
II	41209892
I	47478980
V	4746942
X	29675412
III	36143365
V	43871950
III	20930749
IV	39636145
IV	48253793
X	17810526
IV	373413
X	2266644
II	12443089
I	24539095
X	2650396
V	43440520
II	21715388
X	32688309
V	41998662
III	941291
IV	15593941
III	13369186
I	10848688
III	24750677
I	21458453
IV	47514752
IV	53854433
I	47558587
III	34442746
I	47673736
II	47312070
II	4581541
IV	17766639
IV	34410238
II	42097550
I	35482178
II	34001888
III	15672534
I	33854974
V	7716232
I	42039055
I	31336159
IV	31317362
X	31616341
III	27884998
II	10951219
V	18299805
IV	37044996
V	42004560
V	11696629
V	1104253
X	28222945
I	42406245
V	3099521
I	31840706
IV	52458574
II	18655182
IV	17695826
II	17134352
I	38318309
IV	48919620
V	30267811
IV	6700235
IV	43111778
III	825241
V	38566172
II	41977760
IV	38474449
I	13607217
X	30119961
II	8189896
IV	30787448
I	1504994
III	2549552
IV	13366471
II	40121678
II	47129791
I	47871799
X	10358794
III	41842644
II	36957793
I	8591025
I	38686224
V	43710208
X	32454918
IV	24337652
I	25970601
III	33893670
X	12260405
III	43663110
V	38421422
IV	24355397
I	2395201
V	46620483
III	21155413
II	46314551
IV	6993730
IV	25278463
X	23784415
X	16263527
I	10184872
III	1778280
III	8698653
III	44704578
II	47008947
I	14872565
I	6697127
I	26655063
II	17640134
III	13376791
I	42331363
III	39742036
V	47872298
I	31060494
I	45483347
V	28283434
V	36581260
I	46905896
X	25490265
III	1884345
V	29406607
IV	53816270
I	23243014
II	14176185
IV	50157821
V	41985459
III	2759183
I	44778149
I	4836784
II	15998892
X	31421442
I	33109621
II	26819718
III	22825068
X	4767533
I	47705696
I	34495586
V	40090239
II	43441895
IV	7553475
IV	14770638
V	6928367
III	44861635
II	21186927
I	30434707
I	33567968
II	29949890
V	29221155
III	28804966
I	5389985
I	19711556
III	14820929
I	42467892
V	17163191
IV	5237352
IV	1095528
II	9357252
II	29545682
IV	32990064
X	28645448
I	18886403
III	39853232
II	35119438
I	23705535
III	34052824
III	15803427
IV	53435699
V	43102771
II	39206673
V	10944907
V	29396442
V	106679
III	26780450
X	4636279
IV	41002654
I	33836691
III	17475843
V	13189443
I	21050371
I	45525231
V	26108210
X	34219611
IV	32596904
II	4475256
I	45563333
IV	16227813
III	27838864
II	9875457
III	15370766
IV	9269372
I	5885261
IV	29008055
IV	54221477
X	26471638
I	45819102
I	27662700
X	32934591
X	25823902
V	49151969
V	38588132
X	4516610
III	39854561
I	1047367
X	3677714
I	2652914
I	4754119
III	2590457
V	47646657
IV	6764321
IV	2691055
X	27653443
I	46056917
I	2661469
II	7360339
X	591754
X	1837535
X	26724712
II	45086031
IV	14870094
X	23460585
III	21055972
I	13702353
II	8221739
III	38818761
IV	43665582
I	11051438
III	1903281
X	6497800
III	26263141
I	5992173
I	37361716
II	7190640
I	8986676
IV	23544771
I	48093154
IV	31650601
X	18125741
I	7356296
III	22110749
X	11830861
III	4747789
III	17245040
I	7332885
III	38364901
IV	51922831
X	17936370
X	28930498
I	4644715
III	15361808
III	15110529
X	18307056
V	9093867
II	3857688
III	8320968
I	8670421
III	26753496
IV	50547961
V	15925355
II	8371492
IV	54276129
V	42639600
II	5631671
I	1544233
III	15303598
III	28471052
V	46589211
I	5259186
II	8367158
III	13906097
IV	3255718
I	42841517
IV	14767358
V	12005943
II	40125601
I	34547821
II	6685671
III	16437387
IV	42575984
V	32681933
V	44932130
I	5420256
V	26112502
II	29531992
III	38322051
I	30377567
III	3934549
IV	15233028
IV	43116215
I	4751755
III	35983529
I	41800172
I	33014458
III	27223893
I	16509131
I	6936600
II	23098768
V	39115977
V	40701675
X	29320126
X	647936
I	13385878
I	3564848
III	24470972
I	35154154
II	5676751
III	32068229
X	11849947
I	31841599
V	48218044
V	42445527
IV	7856561
III	19692137
IV	22317909
V	6301218
I	35097766
I	47960213
IV	8123546
X	11755670
X	14453866
I	17436149
III	12230556
V	38359908
V	30245828
V	37709437
II	20307523
II	27011621
IV	52434309
IV	25027726
I	33367095
V	28032288
III	38419768
IV	41252445
II	27875462
X	11444448
V	34744975
X	19075416
I	5407029
X	30789124
I	16258034
III	3492406
V	20405186
V	14843734
X	7333420
I	8303265
I	8361717
III	19538439
II	18606193
III	38327152
III	28739346
II	1283328
I	18484394
II	40471312
IV	14648809
X	18069968
III	28738484
II	8007181
I	48028978
I	13983522
I	12327141
IV	5436500
III	7029787
III	29190604
V	45255569
V	7707832
III	28863270
X	8109506
IV	51940528
I	15195097
II	37205694
III	30383334
II	22301570
V	16557515
IV	36581300
X	7412918
IV	6377085
IV	7871405
II	14059607
III	1156083
IV	20442812
I	16128766
IV	2431235
I	36036737
I	47952465
IV	1487084
III	114550
I	47167897
III	36465617
I	46157607
I	47869398
II	5469237
IV	29102113
III	37109091
V	9685798
II	4899736
X	30472056
V	12969937
V	33033529
I	47671240
I	2795234
I	46764896
I	47888294
IV	50573170
II	1324633
IV	13519056
X	8994158
IV	5441200
II	4285792
IV	23499883
I	31057067
I	4734465
I	25233438
II	37381318
IV	47692478
I	47575067
II	14574203
V	10968473
III	2591552
I	6338794
II	15910924
III	8504128
I	4971990
III	37602122
III	21228156
IV	11835853
IV	40311358
III	13364532
I	4778511
IV	27767708
II	8526334
IV	30993280
IV	43836722
IV	32756101
X	24787762
IV	5233116
IV	51915857
I	9136582
II	12024133
II	46725280
I	10265790
III	11848717
V	29217697
X	2245614
I	15704955
V	44825482
V	46475902
I	5682144
V	45270009
I	41388728
X	12266341
I	43179614
V	29218130
I	8679658
II	897459
IV	24307001
I	854985
II	25994470
III	33559924
X	8507856
III	42596120
III	14273754
V	43883429
II	8523923
II	6682394
III	12150594
IV	9081752
V	19162494
V	47428081
V	32147919
I	1455018
I	2211843
II	8375851
II	26817732
III	22851415
IV	45243505
I	35476024
III	17572883
V	47016347
I	16806759
II	30206550
V	121655
III	9396326
V	42074749
II	27872831
IV	29500692
IV	46792107
V	17057799
I	14736027
IV	5435795
V	21641286
X	2706888
II	44469231
III	37531318
IV	18831269
III	45183823
I	3918799
IV	139255
II	18685500
X	33916452
X	1318788
IV	38441600
V	20699024
IV	6114328
II	36607952
V	25644241
IV	48823815
I	28797831
II	14743197
III	17694074
X	23655936
X	19906434
III	45658122
I	46294179
X	31429075
I	6024427
I	41843545
I	41847893
III	45465917
I	46066243
III	1602235
V	27706677
X	18321402
I	4756032
I	45871966
III	45430112
I	24741759
X	28863436
III	38354341
I	3652233
I	8425935
I	33637332
I	34552094
I	47122870
III	13402343
IV	46118427
V	44872446
I	36601887
II	27323547
IV	51937808
II	8509283
II	19861353
III	31652788
III	44214029
III	1705697
V	5520770
I	15825992
III	14375263
V	38129865
I	10269076
X	4997025
III	40530496
IV	47673685
I	26721048
II	18599650
I	10734129
I	33568614
I	33122360
II	39882493
IV	5692823
V	2371937
IV	13061893
V	416688
V	45273418
I	40095578
I	28648628
X	14241118
X	11852681
III	7008844
I	6540075
IV	48830945
II	19728546
I	19275348
II	34719998
III	5799017
III	35855869
V	37313087
X	2470567
III	36603830
X	24250583
IV	46656652
X	2866166
I	33828971
IV	44935671
III	27686786
IV	21089347
IV	35538190
IV	48656069
I	23583918
II	40120288
II	1971348
I	8689526
I	48045691
I	17243617
X	26042228
I	24621556
III	26346323
V	45025905
X	19937136
II	5073301
V	16586835
II	45475514
I	41819001
II	24021586
X	19080871
IV	127497
X	14564331
V	42914193
X	2205304
IV	53827338
I	31029590
II	27593462
IV	37231108
X	10649201
I	6708120
I	26574027
I	41827878
II	35656268
V	5901245
IV	33420830
V	764103
III	42616642
V	44493243
I	42109402
III	34387137
X	3637684
IV	5433340
V	17887291
I	27680040
III	16899562
IV	8878552
I	37277039
III	8150043
IV	1045720
I	47453269
V	46778594
II	35908771
I	27308385
III	33553336
IV	38448222
IV	24334012
I	48084587
I	10823163
V	32829209
I	4980468
I	19724681
I	38077005
I	41980526
III	14558997
III	16038601
III	32123852
IV	42673015
V	29074088
V	7898452
I	1852040
I	954188
II	13077917
I	41182186
IV	7856150
II	20130122
I	12405133
I	19727777
II	41937840
III	1646357
IV	41921551
IV	46622272
V	41982257
III	28808874
III	22044411
II	20396744
II	41707939
II	24025449
V	16848395
III	34452756
III	34040015
II	8234917
I	16650462
IV	53272027
IV	53576645
X	20863411
IV	13214048
III	45660150
III	38405556
II	5636846
III	11402347
III	35463966
X	6854012
IV	10888667
I	39976460
III	1656094
II	22299606
II	36492891
X	11739678
I	8164842
II	6970636
II	7209264
IV	20600362
V	20522459
V	35512482
I	23693976
IV	11603360
V	33701224
II	24126657
I	10750806
I	42032348
IV	53316632
II	22007501
X	11745299
I	3367142
II	5941349
II	10677366
V	25083322
IV	38450005
II	32618651
III	44934083
I	4626314
III	39594768
III	14360583
I	5230825
II	12859090
V	29369605
X	9661330
IV	1468721
V	42439740
II	41902140
II	23543382
X	24760281
II	29945926
III	44010742
III	37071098
III	12152081
IV	52613571
V	7392927
V	23477313
I	42307123
I	36543764
II	37750155
I	45359554
II	44600831
IV	41712752
III	15383229
III	9317102
III	33897711
IV	44907361
V	43840454
V	73465
II	9352212
II	27867106
II	10943688
II	8551235
V	5031167
V	3911093
IV	32568310
II	29925065
II	34862793
II	43320652
III	13942762
IV	48661628
V	2358147
V	42682626
X	1791392
IV	29675219
III	39493513
IV	5442168
I	4694474
I	31846340
V	28040749
IV	52851003
I	30777649
IV	24864668
X	1834643
IV	29004451
X	9863580
I	14459671
I	47514993
III	8354057
III	12868877
III	15311145
IV	49570937
II	25652036
IV	22368429
IV	25548022
I	20171584
IV	45515631
IV	38443608
I	24533481
I	34237639
III	34826506
IV	51105022
I	11648121
I	18437507
III	1896942
X	4173440
II	47241669
I	17472270
I	10913630
III	22110059
I	45293407
IV	53839425
III	37799493
V	10955470
I	34188286
II	41983946
III	2468095
IV	3409187
X	2893860
V	40080779
I	34159334
V	47895804
III	26586857
II	1284132
I	11614119
III	4906644
IV	7042980
V	26345044
II	29543852
V	9578978
I	5257738
III	16380774
III	45462393
IV	17930489
V	34848604
X	8709426
II	23542922
II	1807499
II	3876809
III	26843878
I	38167396
II	10950687
V	1987593
III	34115310
III	1742124
IV	13288781
X	1220077
III	1305699
II	44591379
V	30694188
V	7720982
I	45467113
X	11068984
III	31679527
II	34212217
II	44271320
III	38336267
IV	52303098
V	9845122
V	39173329
IV	19751824
IV	38472323
I	42649499
V	29245737
V	3100207
I	3022966
I	31835497
II	1113408
II	4558217
V	38064149
X	5414689
IV	1686104
III	23515764
II	33941148
V	48096793
V	42497923
I	43036195
X	22640747
II	15995882
I	41151879
I	1824284
III	1321063
III	31670583
III	1702774
III	43392129
III	36855563
IV	8531264
I	40771827
II	5942646
II	8633707
III	3952976
III	6369522
IV	20723306
I	9631711
I	12227366
III	96925
IV	7878719
II	40018948
II	21204635
X	875839
IV	32835577
V	12997798
I	47295247
I	6334814
V	32097280
II	6047823
I	2796743
I	43294954
IV	51227887
IV	19004055
V	24847252
V	29320689
V	12258299
II	47961174
IV	36810441
I	43184518
I	2099562
X	32747715
I	33432692
I	35684135
V	15789844
V	32106448
V	32662825
II	47007480
I	47058104
X	18070448
I	44168740
I	31946980
IV	36583264
III	17513055
III	11761374
V	42414868
V	1790441
V	20713503
II	28614448
III	33471366
III	33474484
I	15068562
II	28329901
X	17706023
II	29846495
III	12156835
V	43725063
I	8984299
III	19007838
V	43888286
X	408884
III	8313863
I	18088064
I	19713691
II	42589070
III	22830990
IV	1940394
X	7204095
III	3921741
III	44978792
X	4911401
IV	5302223
IV	36806844
III	18979694
X	11759191
I	39394989
II	47296195
IV	51095479
IV	5442992
IV	33369499
I	31056675
I	31289468
III	33447686
X	33128269
III	43189672
V	20406772
V	31540197
III	20812596
IV	14150117
III	1907634
IV	36343587
III	36621954
IV	13076814
I	41818175
V	40092607
I	33710329
V	16201306
III	21815009
IV	53815821
IV	29558152
I	9762065
I	27306292
I	3026063
I	9994876
V	12421664
I	34027312
I	2222576
I	39748641
X	32687650
I	42622684
IV	41759690
I	209506
III	41135075
I	5089443
III	12850545
III	12848455
X	19972282
I	29262075
II	2483589
