Query_ID	Subject_Rank	Subject_ID	Backward_Rank	Backward_Query_ID	Status	Subject_Evalue	Subject_IdentityPercent	Subject_BitScore	Subject_WeightedCov	Backward_Query_Evalue	Backward_Query_IdentityPercent	Query_BitScore	Backward_Query_WeightedCov
Hcon5G00000000011.1	1	transcript:HCON_00132810-00001	1	Hcon5G00000003602.1	Miss	2.29345E-101	1.0	295.049	1.0	0.0	0.9924433249370277	821.617	1.0
Hcon5G00000000012.3	1	transcript:HCON_00191170-00001	1	Hcon5G00000000012.3	Hit	0.0	1.0	811.987	1.0	0.0	1.0	811.987	1.0
Hcon5G00000000013.1	1	transcript:HCON_00191160-00001	1	Hcon5G00000000013.1	Hit	5.84681E-126	0.9770114942528736	350.517	1.0	5.4816E-126	0.9770114942528736	350.517	1.0
Hcon5G00000000014.1	1	transcript:HCON_00191140-00001	1	Hcon5G00000000014.1	Hit	2.96453E-67	0.979381443298969	196.052	1.0	2.77936E-67	0.979381443298969	196.052	1.0
Hcon5G00000000015.1	1	transcript:HCON_00191120-00001	1	Hcon5G00000000015.1	Hit	1.62443E-129	0.9943502824858758	359.762	1.0	1.52296E-129	0.9943502824858758	359.762	1.0
Hcon5G00000000016.1	1	transcript:HCON_00191070-00001	1	Hcon5G00000000016.1	Hit	1.46222E-85	1.0	244.202	1.0	1.37088E-85	1.0	244.202	1.0
Hcon5G00000000017.1	1	transcript:HCON_00191060-00001	1	Hcon5G00000000017.1	Hit	1.30964E-179	0.9958333333333333	491.5	1.0	1.22783E-179	0.9958333333333333	491.5	1.0
Hcon5G00000000018.1	1	transcript:HCON_00191050-00001	1	Hcon5G00000000018.1	Hit	9.75307E-30	1.0	97.4413	1.0	9.14386E-30	1.0	97.4413	1.0
Hcon5G00000000019.2	1	transcript:HCON_00191040-00001	1	Hcon5G00000000019.2	Hit	0.0	0.9952380952380953	860.907	1.0	0.0	0.9952380952380953	860.907	1.0
Hcon5G00000000020.1	1	transcript:HCON_00191020-00001	1	Hcon5G00000000020.1	Hit	4.22201E-54	1.0	161.384	1.0	3.95829E-54	1.0	161.384	1.0
Hcon5G00000000021.1	1	transcript:HCON_00191030-00001	1	Hcon5G00000000021.1	Hit	0.0	1.0	802.742	1.0	0.0	1.0	802.742	1.0
Hcon5G00000000022.1	1	transcript:HCON_00191010-00001	1	Hcon5G00000009234.1	Miss	7.70006E-144	0.9619047619047619	404.06	0.995260663507109	0.0	0.7619047619047619	568.155	0.9971428571428571
Hcon5G00000000023.1	1	transcript:HCON_00191000-00001	1	Hcon5G00000000023.1	Hit	0.0	0.997624703087886	882.478	1.0	0.0	0.997624703087886	882.478	1.0
Hcon5G00000000024.1	1	transcript:HCON_00173940-00001	1	Hcon5G00000001306.1	Miss	4.48646E-6	0.7931034482758621	39.6614	0.4915254237288136	4.76502E-87	1.0	247.669	1.0
Hcon5G00000000025.1	1	transcript:HCON_00190960-00001	1	Hcon5G00000000025.1	Hit	3.78618E-159	1.0	450.669	1.0	8.85793E-159	1.0	450.669	1.0
Hcon5G00000000026.1	1	transcript:HCON_00190950-00001	1	Hcon5G00000000026.1	Hit	1.17108E-55	0.9340659340659341	167.548	0.9891304347826086	1.56336E-55	0.9340659340659341	167.548	0.9891304347826086
Hcon5G00000000027.1	1	transcript:HCON_00191270-00001	1	Hcon5G00000000027.1	Hit	1.0018E-53	1.0	178.333	0.7685185185185185	7.13987E-53	1.0	178.333	0.7685185185185185
Hcon5G00000000028.1	1	transcript:HCON_00175020-00001	1	Hcon5G00000000028.1	Hit	1.59096E-32	0.7721518987341772	106.686	1.0	1.99642E-32	0.7721518987341772	106.686	1.0
Hcon5G00000000029.1	1	transcript:HCON_00191290-00001	1	Hcon5G00000000029.1	Hit	0.0	0.9926108374384236	830.861	0.9950980392156863	0.0	0.9926108374384236	830.861	0.9950980392156863
Hcon5G00000000030.1	1	transcript:HCON_00191320-00001	1	Hcon5G00000000030.1	Hit	9.59517E-130	0.9943502824858758	361.688	1.0	7.69208E-130	0.9943502824858758	361.688	1.0
Hcon5G00000000031.1	1	transcript:HCON_00191330-00001	1	Hcon5G00000000031.1	Hit	0.0	0.9977116704805492	908.286	1.0	0.0	0.9977116704805492	908.286	1.0
Hcon5G00000000032.1	1	transcript:HCON_00153985-00001	1	Hcon5G00000002950.1	Miss	0.0	0.9944629014396457	1865.12	1.0	0.0	0.9978401727861771	2889.37	1.0
Hcon5G00000000033.1	1	transcript:HCON_00667225-00001	1	Hcon5G00000000033.1	Hit	5.53627E-37	1.0	122.094	1.0	1.98967E-36	1.0	122.094	1.0
Hcon5G00000000034.1	1	transcript:HCON_00667215-00001	1	Hcon5G00000000034.1	Hit	2.98293E-38	1.0	131.339	1.0	2.23305E-37	1.0	131.339	1.0
Hcon5G00000000035.1	1	transcript:HCON_00190990-00001	1	Hcon5G00000000035.1	Hit	0.0	0.9825174825174825	577.4	0.9370860927152318	0.0	0.9825174825174825	577.4	0.9370860927152318
Hcon5G00000000036.1	0	No_Hit	0	No_Hit	Miss		null	null	null	null	null	null	null	null
Hcon5G00000000037.2	1	transcript:HCON_00190970-00002	1	Hcon5G00000000037.2	Hit	0.0	0.9981308411214953	1100.5	0.981651376146789	0.0	0.9981308411214953	1100.5	0.981651376146789
Hcon5G00000000038.1	1	transcript:HCON_00190930-00001	1	Hcon5G00000000038.1	Hit	1.0121E-108	0.9934640522875817	305.449	1.0	9.48883E-109	0.9934640522875817	305.449	1.0
Hcon5G00000000039.1	1	transcript:HCON_00190910-00001	1	Hcon5G00000000039.1	Hit	0.0	1.0	1012.29	1.0	0.0	1.0	1012.29	1.0
Hcon5G00000000040.1	0	No_Hit	0	No_Hit	Miss		null	null	null	null	null	null	null	null
Hcon5G00000000041.1	1	transcript:HCON_00190880-00001	1	Hcon5G00000000041.1	Hit	2.61326E-99	1.0	280.411	1.0	2.45003E-99	1.0	280.411	1.0
Hcon5G00000000042.1	1	transcript:HCON_00190870-00001	1	Hcon5G00000000042.1	Hit	3.0765E-107	0.9864864864864865	302.368	0.9192546583850931	2.90225E-107	0.9864864864864865	302.368	0.9192546583850931
Hcon5G00000000043.1	1	transcript:HCON_00190860-00001	1	Hcon5G00000000043.1	Hit	2.91286E-104	1.0	293.123	1.0	2.73091E-104	1.0	293.123	1.0
Hcon5G00000000044.1	1	transcript:HCON_00190840-00001	1	Hcon5G00000000044.1	Hit	1.50805E-94	1.0	267.7	1.0	1.41385E-94	1.0	267.7	1.0
Hcon5G00000000045.1	1	transcript:HCON_00190830-00001	1	Hcon5G00000000045.1	Hit	2.80966E-75	1.0	216.853	1.0	2.63416E-75	1.0	216.853	1.0
Hcon5G00000000046.1	1	transcript:HCON_00190820-00001	1	Hcon5G00000000046.1	Hit	1.34068E-64	0.9891304347826086	188.734	1.0	1.25693E-64	0.9891304347826086	188.734	1.0
Hcon5G00000000047.1	1	transcript:HCON_00190810-00001	1	Hcon5G00000000047.1	Hit	0.0	1.0	790.03	0.9973262032085561	0.0	1.0	790.03	0.9973262032085561
Hcon5G00000000048.1	1	transcript:HCON_00190800-00001	1	Hcon5G00000000980.1	Miss	1.88548E-29	0.9322033898305084	99.7525	0.9833333333333333	4.35572E-38	0.822429906542056	124.02	0.9385964912280702
Hcon5G00000000049.2	1	transcript:HCON_00190760-00001	1	Hcon5G00000000049.2	Hit	0.0	1.0	1968.74	1.0	0.0	1.0	1968.74	1.0
Hcon5G00000000050.1	1	transcript:HCON_00190750-00002	1	Hcon5G00000000050.1	Hit	0.0	1.0	1047.34	1.0	0.0	1.0	1047.34	1.0
Hcon5G00000000051.1	1	transcript:HCON_00190720-00001	1	Hcon5G00000000051.1	Hit	1.38989E-64	1.0	189.119	1.0	1.3311E-64	1.0	189.119	1.0
Hcon5G00000000052.1	1	transcript:HCON_00190710-00001	1	Hcon5G00000000052.1	Hit	3.30169E-47	0.9861111111111112	143.665	0.9863013698630136	3.26507E-47	0.9861111111111112	143.665	0.9863013698630136
Hcon5G00000000053.1	1	transcript:HCON_00193040-00001	1	Hcon5G00000001366.1	Miss	0.0	0.9157608695652174	661.374	0.9692737430167597	0.0	0.47577092511013214	1947.17	1.0
Hcon5G00000000054.1	1	transcript:HCON_00190680-00001	1	Hcon5G00000000054.1	Hit	0.0	1.0	897.886	1.0	0.0	1.0	897.886	1.0
Hcon5G00000000055.1	1	transcript:HCON_00190670-00001	1	Hcon5G00000000055.1	Hit	2.02885E-112	0.9813664596273292	315.079	1.0	1.90212E-112	0.9813664596273292	315.079	1.0
Hcon5G00000000056.1	1	transcript:HCON_00190650-00001	1	Hcon5G00000000056.1	Hit	0.0	0.9975429975429976	836.639	1.0	0.0	0.9975429975429976	836.639	1.0
Hcon5G00000000057.2	1	transcript:HCON_00190640-00001	1	Hcon5G00000000057.2	Hit	0.0	0.9974937343358395	822.002	1.0	0.0	0.9974937343358395	822.002	1.0
Hcon5G00000000058.1	1	transcript:HCON_00190630-00001	1	Hcon5G00000000058.1	Hit	0.0	0.9878640776699029	850.121	0.9760765550239234	0.0	0.9878640776699029	850.121	0.9760765550239234
Hcon5G00000000059.2	1	transcript:HCON_00190620-00001	1	Hcon5G00000000059.2	Hit	4.11834E-81	1.0	233.417	0.9913793103448276	3.26925E-81	1.0	233.417	0.9913793103448276
Hcon5G00000000060.1	1	transcript:HCON_00190610-00001	1	Hcon5G00000000060.1	Hit	4.64501E-114	1.0	318.546	1.0	4.35487E-114	1.0	318.546	1.0
Hcon5G00000000061.1	1	transcript:HCON_00190600-00001	1	Hcon5G00000000061.1	Hit	1.93747E-76	1.0	219.935	1.0	1.81645E-76	1.0	219.935	1.0
Hcon5G00000000062.1	1	transcript:HCON_00190590-00001	1	Hcon5G00000000062.1	Hit	0.0	1.0	1531.15	1.0	0.0	1.0	1531.15	1.0
Hcon5G00000000063.1	1	transcript:HCON_00190580-00001	1	Hcon5G00000000063.1	Hit	0.0	1.0	846.269	1.0	0.0	1.0	846.269	1.0
Hcon5G00000000064.1	1	transcript:HCON_00190570-00001	1	Hcon5G00000000064.1	Hit	0.0	1.0	1295.03	1.0	0.0	1.0	1295.03	1.0
Hcon5G00000000065.1	1	transcript:HCON_00190560-00001	1	Hcon5G00000000065.1	Hit	8.24872E-113	1.0	315.464	1.0	7.73348E-113	1.0	315.464	1.0
Hcon5G00000000066.2	1	transcript:HCON_00190550-00001	1	Hcon5G00000000066.2	Hit	0.0	1.0	947.962	1.0	0.0	1.0	947.962	1.0
Hcon5G00000000067.1	0	No_Hit	0	No_Hit	Miss		null	null	null	null	null	null	null	null
Hcon5G00000000068.1	1	transcript:HCON_00078840-00001	1	Hcon5G00000011152.1	Miss	1.18804E-56	0.76	180.644	0.6437768240343348	0.0	0.9814814814814815	533.487	1.0
Hcon5G00000000069.1	1	transcript:HCON_00190530-00001	1	Hcon5G00000000069.1	Hit	0.0	1.0	872.848	1.0	0.0	1.0	872.848	1.0
Hcon5G00000000070.1	1	transcript:HCON_00190525-00001	1	Hcon5G00000000070.1	Hit	2.50961E-29	1.0	96.2857	1.0	2.35286E-29	1.0	96.2857	1.0
Hcon5G00000000071.1	1	transcript:HCON_00190520-00001	1	Hcon5G00000000071.1	Hit	0.0	1.0	638.262	1.0	0.0	1.0	638.262	1.0
Hcon5G00000000072.2	1	transcript:HCON_00190510-00001	1	Hcon5G00000000072.2	Hit	1.84719E-174	1.0	478.019	1.0	1.73181E-174	1.0	478.019	1.0
Hcon5G00000000073.2	1	transcript:HCON_00190500-00001	1	Hcon5G00000000073.2	Hit	0.0	1.0	495.738	1.0	0.0	1.0	495.738	1.0
Hcon5G00000000074.1	1	transcript:HCON_00190490-00001	1	Hcon5G00000000074.1	Hit	0.0	1.0	983.4	1.0	0.0	1.0	983.4	1.0
Hcon5G00000000075.1	1	transcript:HCON_00190480-00001	1	Hcon5G00000000075.1	Hit	0.0	1.0	1186.4	1.0	0.0	1.0	1186.4	1.0
Hcon5G00000000076.1	1	transcript:HCON_00190470-00001	1	Hcon5G00000000076.1	Hit	0.0	1.0	2778.82	0.9884726224783862	0.0	1.0	2778.82	0.9884726224783862
Hcon5G00000000077.1	1	transcript:HCON_00190460-00002	1	Hcon5G00000000077.1	Hit	2.13748E-174	1.0	499.204	1.0	6.895E-174	1.0	499.204	1.0
Hcon5G00000000078.1	1	transcript:HCON_00190450-00001	1	Hcon5G00000000078.1	Hit	0.0	0.4824561403508772	650.203	1.0	0.0	0.43537414965986393	650.203	1.0
Hcon5G00000000079.1	1	transcript:HCON_00190440-00001	1	Hcon5G00000000079.1	Hit	3.72275E-45	1.0	137.887	1.0	3.49021E-45	1.0	137.887	1.0
Hcon5G00000000080.2	1	transcript:HCON_00190430-00001	1	Hcon5G00000000080.2	Hit	0.0	1.0	870.152	1.0	0.0	1.0	870.152	1.0
Hcon5G00000000081.1	1	transcript:HCON_00190420-00002	1	Hcon5G00000000081.1	Hit	0.0	1.0	1264.21	1.0	0.0	1.0	1264.21	1.0
Hcon5G00000000082.1	1	transcript:HCON_00190415-00001	1	Hcon5G00000000082.1	Hit	1.2691E-168	1.0	463.381	0.987012987012987	1.20528E-168	1.0	463.381	0.987012987012987
Hcon5G00000000083.1	0	No_Hit	0	No_Hit	Miss		null	null	null	null	null	null	null	null
Hcon5G00000000084.1	1	transcript:HCON_00190390-00001	1	Hcon5G00000000084.1	Hit	0.0	1.0	1297.72	1.0	0.0	1.0	1297.72	1.0
Hcon5G00000000085.1	1	transcript:HCON_00100910-00001	1	Hcon5G00000005470.1	Miss	6.63125E-18	0.9722222222222222	72.0182	0.6206896551724138	2.61576E-147	1.0	405.986	1.0
Hcon5G00000000086.1	1	transcript:HCON_00190380-00001	1	Hcon5G00000000086.1	Hit	0.0	0.9983633387888707	1249.19	1.0	0.0	0.9983633387888707	1249.19	1.0
Hcon5G00000000087.1	1	transcript:HCON_00190370-00001	1	Hcon5G00000000087.1	Hit	0.0	1.0	1006.51	1.0	0.0	1.0	1006.51	1.0
Hcon5G00000000088.2	1	transcript:HCON_00190365-00001	1	Hcon5G00000000088.2	Hit	2.3854E-174	0.9832635983263598	478.404	1.0	2.2364E-174	0.9832635983263598	478.404	1.0
Hcon5G00000000089.1	0	No_Hit	0	No_Hit	Miss		null	null	null	null	null	null	null	null
Hcon5G00000000090.1	1	transcript:HCON_00075300-00001	1	Hcon5G00000011497.1	Miss	7.54311E-37	0.7083333333333334	119.783	0.9696969696969697	7.28996E-72	1.0	207.608	1.0
Hcon5G00000000091.1	1	transcript:HCON_00190360-00001	1	Hcon5G00000000091.1	Hit	8.24064E-100	0.9647887323943662	281.952	1.0	7.7259E-100	0.9647887323943662	281.952	1.0
Hcon5G00000000092.1	1	transcript:HCON_00190350-00001	1	Hcon5G00000000092.1	Hit	0.0	1.0	1029.62	1.0	0.0	1.0	1029.62	1.0
Hcon5G00000000093.1	1	transcript:HCON_00190340-00001	1	Hcon5G00000000093.1	Hit	0.0	1.0	877.085	1.0	0.0	1.0	877.085	1.0
Hcon5G00000000094.2	1	transcript:HCON_00190330-00001	1	Hcon5G00000000094.2	Hit	5.94886E-132	0.9834254143646409	366.311	1.0	5.57727E-132	0.9834254143646409	366.311	1.0
Hcon5G00000000095.1	1	transcript:HCON_00190320-00001	1	Hcon5G00000000095.1	Hit	0.0	0.9906166219839142	1535.01	1.0	0.0	0.9906166219839142	1535.01	1.0
Hcon5G00000000096.1	1	transcript:HCON_00190310-00001	1	Hcon5G00000000096.1	Hit	0.0	0.985	816.224	1.0	0.0	0.985	816.224	1.0
Hcon5G00000000097.1	1	transcript:HCON_00190300-00001	1	Hcon5G00000000097.1	Hit	0.0	1.0	657.522	1.0	0.0	1.0	657.522	1.0
Hcon5G00000000098.1	1	transcript:HCON_00190280-00001	1	Hcon5G00000000098.1	Hit	0.0	0.9987510407993339	4939.4	1.0	0.0	0.9987510407993339	4939.4	1.0
Hcon5G00000000099.1	1	transcript:HCON_00190270-00001	1	Hcon5G00000000099.1	Hit	2.34437E-78	1.0	225.328	1.0	2.19793E-78	1.0	225.328	1.0
Hcon5G00000000100.1	1	transcript:HCON_00190260-00001	1	Hcon5G00000000100.1	Hit	0.0	1.0	887.871	1.0	0.0	1.0	887.871	1.0
Hcon5G00000000101.1	1	transcript:HCON_00190240-00001	1	Hcon5G00000000101.1	Hit	0.0	0.9984202211690363	1288.48	1.0	0.0	0.9984202211690363	1288.48	1.0
Hcon5G00000000102.1	1	transcript:HCON_00190220-00001	1	Hcon5G00000000102.1	Hit	0.0	1.0	683.33	1.0	0.0	1.0	683.33	1.0
Hcon5G00000000103.1	0	No_Hit	0	No_Hit	Miss		null	null	null	null	null	null	null	null
Hcon5G00000000104.2	1	transcript:HCON_00190190-00001	1	Hcon5G00000000104.2	Hit	0.0	1.0	4382.02	1.0	0.0	1.0	4382.02	1.0
Hcon5G00000000105.1	1	transcript:HCON_00187450-00001	1	Hcon5G00000000105.1	Hit	0.0	0.6238709677419355	1156.74	0.99867197875166	0.0	0.6304937601736299	1233.39	0.99867197875166
Hcon5G00000000106.1	1	transcript:HCON_00190185-00001	1	Hcon5G00000000106.1	Hit	0.0	1.0	607.06	1.0	0.0	1.0	607.06	1.0
Hcon5G00000000108.1	1	transcript:HCON_00190180-00001	1	Hcon5G00000000108.1	Hit	0.0	0.9991889699918897	2538.84	1.0	0.0	0.9991889699918897	2538.84	1.0
Hcon5G00000000107.2	1	transcript:HCON_00190150-00002	1	Hcon5G00000000107.2	Hit	0.0	1.0	729.554	0.9917582417582418	0.0	1.0	729.554	0.9917582417582418
Hcon5G00000000109.2	1	transcript:HCON_00190145-00001	1	Hcon5G00000000109.2	Hit	2.91609E-98	1.0	277.33	1.0	2.73394E-98	1.0	277.33	1.0
Hcon5G00000000110.2	1	transcript:HCON_00190140-00001	1	Hcon5G00000000110.2	Hit	0.0	1.0	639.802	1.0	0.0	1.0	639.802	1.0
Hcon5G00000000111.1	1	transcript:HCON_00190160-00001	1	Hcon5G00000000111.1	Hit	1.27361E-49	1.0	149.828	1.0	1.19406E-49	1.0	149.828	1.0
Hcon5G00000000112.2	1	transcript:HCON_00190135-00001	1	Hcon5G00000000112.2	Hit	8.08371E-160	0.9952830188679245	439.113	1.0	7.57877E-160	0.9952830188679245	439.113	1.0
Hcon5G00000000113.1	1	transcript:HCON_00190130-00001	1	Hcon5G00000000113.1	Hit	2.52326E-81	1.0	233.032	1.0	2.36565E-81	1.0	233.032	1.0
Hcon5G00000000114.1	1	transcript:HCON_00190120-00002	1	Hcon5G00000000114.1	Hit	0.0	1.0	1195.65	1.0	0.0	1.0	1195.65	1.0
Hcon5G00000000115.1	1	transcript:HCON_00190110-00001	1	Hcon5G00000000115.1	Hit	1.43042E-78	1.0	225.713	1.0	1.34108E-78	1.0	225.713	1.0
Hcon5G00000000116.1	1	transcript:HCON_00190100-00002	1	Hcon5G00000000116.1	Hit	0.0	0.9977578475336323	901.738	1.0	0.0	0.9977578475336323	901.738	1.0
Hcon5G00000000117.2	1	transcript:HCON_00190090-00001	1	Hcon5G00000000117.2	Hit	0.0	0.8302583025830258	871.692	1.0	0.0	0.8302583025830258	871.692	1.0
Hcon5G00000000118.1	1	transcript:HCON_00190080-00001	1	Hcon5G00000000118.1	Hit	0.0	0.9978813559322034	972.23	1.0	0.0	0.9978813559322034	972.23	1.0
Hcon5G00000000119.1	1	transcript:HCON_00190070-00001	1	Hcon5G00000000119.1	Hit	0.0	1.0	1717.21	1.0	0.0	1.0	1717.21	1.0
Hcon5G00000000120.1	1	transcript:HCON_00190065-00001	1	Hcon5G00000000120.1	Hit	8.24433E-15	1.0	58.5362	1.0	7.99589E-15	1.0	58.5362	1.0
Hcon5G00000000121.1	1	transcript:HCON_00190060-00001	1	Hcon5G00000000121.1	Hit	0.0	0.9807355516637478	1087.4	1.0	0.0	0.9807355516637478	1083.94	1.0
Hcon5G00000000122.1	0	No_Hit	0	No_Hit	Miss		null	null	null	null	null	null	null	null
Hcon5G00000000123.2	1	transcript:HCON_00190000-00001	1	Hcon5G00000000123.2	Hit	2.94845E-153	1.0	422.935	1.0	2.76428E-153	1.0	422.935	1.0
Hcon5G00000000124.1	1	transcript:HCON_00189990-00001	1	Hcon5G00000000124.1	Hit	3.11603E-108	1.0	303.523	1.0	2.92139E-108	1.0	303.523	1.0
Hcon5G00000000125.1	1	transcript:HCON_00189980-00001	1	Hcon5G00000000125.1	Hit	9.74907E-147	1.0	404.831	1.0	9.14011E-147	1.0	404.831	1.0
Hcon5G00000000126.3	1	transcript:HCON_00189970-00001	1	Hcon5G00000000126.3	Hit	0.0	1.0	880.937	1.0	0.0	1.0	880.937	1.0
Hcon5G00000000127.1	1	transcript:HCON_00189960-00001	1	Hcon5G00000000127.1	Hit	0.0	1.0	999.579	1.0	0.0	1.0	999.579	1.0
Hcon5G00000000128.1	1	transcript:HCON_00189950-00001	1	Hcon5G00000000128.1	Hit	0.0	1.0	1738.01	1.0	0.0	1.0	1738.01	1.0
Hcon5G00000000129.1	0	No_Hit	0	No_Hit	Miss		null	null	null	null	null	null	null	null
Hcon5G00000000130.2	1	transcript:HCON_00189940-00001	1	Hcon5G00000000130.2	Hit	0.0	1.0	2311.95	1.0	0.0	1.0	2311.95	1.0
Hcon5G00000000131.1	1	transcript:HCON_00189930-00001	1	Hcon5G00000000131.1	Hit	0.0	1.0	2573.89	1.0	0.0	1.0	2573.89	1.0
Hcon5G00000000132.1	1	transcript:HCON_00189920-00001	1	Hcon5G00000000132.1	Hit	0.0	1.0	1149.42	1.0	0.0	1.0	1149.42	1.0
Hcon5G00000000133.1	1	transcript:HCON_00189915-00001	1	Hcon5G00000000133.1	Hit	0.0	1.0	568.54	1.0	0.0	1.0	568.54	1.0
Hcon5G00000000134.1	1	transcript:HCON_00189910-00001	1	Hcon5G00000000134.1	Hit	0.0	1.0	1125.15	1.0	0.0	1.0	1125.15	1.0
Hcon5G00000000135.1	1	transcript:HCON_00189900-00001	1	Hcon5G00000000135.1	Hit	0.0	1.0	744.577	1.0	0.0	1.0	744.577	1.0
Hcon5G00000000136.1	1	transcript:HCON_00189890-00001	1	Hcon5G00000000136.1	Hit	0.0	1.0	647.892	1.0	0.0	1.0	647.892	1.0
Hcon5G00000000137.1	1	transcript:HCON_00189880-00002	1	Hcon5G00000000137.1	Hit	0.0	1.0	1216.45	1.0	0.0	1.0	1216.45	1.0
Hcon5G00000000138.1	0	No_Hit	0	No_Hit	Miss		null	null	null	null	null	null	null	null
Hcon5G00000000139.1	1	transcript:HCON_00194310-00001	1	Hcon5G00000000139.1	Hit	0.0	0.9737654320987654	1252.27	1.0	0.0	0.9737654320987654	1239.17	1.0
Hcon5G00000000140.1	1	transcript:HCON_00156160-00001	1	Hcon5G00000001365.1	Miss	9.14026E-28	0.9215686274509803	94.7449	1.0	2.70899E-48	0.65	150.984	0.990990990990991
Hcon5G00000000141.2	1	transcript:HCON_00189860-00001	1	Hcon5G00000000141.2	Hit	0.0	1.0	750.74	1.0	0.0	1.0	750.74	1.0
Hcon5G00000000142.1	1	transcript:HCON_00189850-00001	1	Hcon5G00000000142.1	Hit	2.12441E-67	0.9693877551020408	196.438	1.0	1.99172E-67	0.9693877551020408	196.438	1.0
Hcon5G00000000143.1	1	transcript:HCON_00189840-00001	1	Hcon5G00000000143.1	Hit	0.0	0.9971428571428571	723.005	1.0	0.0	0.9971428571428571	723.005	1.0
Hcon5G00000000144.1	0	No_Hit	0	No_Hit	Miss		null	null	null	null	null	null	null	null
Hcon5G00000000145.2	1	transcript:HCON_00189830-00001	1	Hcon5G00000000145.2	Hit	0.0	0.9984825493171472	4002.98	1.0	0.0	0.9984825493171472	4002.98	1.0
Hcon5G00000000146.1	1	transcript:HCON_00189790-00002	1	Hcon5G00000000150.6	Miss	0.0	0.9954476479514416	1374.76	1.0	0.0	1.0	4276.47	1.0
Hcon5G00000000147.1	1	transcript:HCON_00189790-00002	1	Hcon5G00000000150.6	Miss	0.0	0.4205748865355522	1454.88	0.9985754985754985	0.0	1.0	4276.47	1.0
Hcon5G00000000148.1	1	transcript:HCON_00189794-00001	1	Hcon5G00000000148.1	Hit	5.49374E-106	1.0	297.745	1.0	5.15058E-106	1.0	297.745	1.0
Hcon5G00000000149.1	1	transcript:HCON_00189792-00001	1	Hcon5G00000000149.1	Hit	4.14052E-70	1.0	203.371	1.0	3.88189E-70	1.0	203.371	1.0
Hcon5G00000000150.6	1	transcript:HCON_00189790-00002	1	Hcon5G00000000150.6	Hit	0.0	1.0	4276.47	1.0	0.0	1.0	4276.47	1.0
Hcon5G00000000151.1	0	No_Hit	0	No_Hit	Miss		null	null	null	null	null	null	null	null
Hcon5G00000000152.1	1	transcript:HCON_00189780-00001	1	Hcon5G00000000187.1	Miss	3.23214E-157	0.738562091503268	446.047	0.975609756097561	1.14563E-157	0.6531165311653117	464.151	0.9708222811671088
Hcon5G00000000153.1	1	transcript:HCON_00189770-00002	1	Hcon5G00000000153.1	Hit	0.0	0.9981006647673314	2168.66	1.0	0.0	0.9981006647673314	2168.66	1.0
Hcon5G00000000154.1	0	No_Hit	0	No_Hit	Miss		null	null	null	null	null	null	null	null
Hcon5G00000000155.2	1	transcript:HCON_00189760-00001	1	Hcon5G00000000155.2	Hit	2.18569E-94	1.0	268.47	0.9701492537313433	1.74897E-94	1.0	268.47	0.9701492537313433
Hcon5G00000000156.1	1	transcript:HCON_00146350-00001	1	Hcon5G00000017420.1	Miss	2.36187E-7	0.5952380952380952	42.743	0.8235294117647058	1.5671E-68	0.970873786407767	201.06	0.8956521739130435
