K00002	alcohol dehydrogenase (NADP+)
K00288	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase
K00289	formyltetrahydrofolate dehydrogenase
K00294	E1.2.1.1-pyrroline-5-carboxylate dehydrogenase
K00306	sarcosine oxidase / L-pipecolate oxidase
K00311	electron-transferring-flavoprotein dehydrogenase
K00315	dimethylglycine dehydrogenase
K00318	proline dehydrogenase
K00323	proton-translocating NAD(P)+ transhydrogenase
K00326	cytochrome-b5 reductase
K00327	NADPH-ferrihemoprotein reductase
K00344	NADPH:quinone reductase
K00357	dihydropteridine reductase
K00364	GMP reductase
K00382	dihydrolipoyl dehydrogenase
K00383	glutathione reductase (NADPH)
K00387	sulfite oxidase
K00408	wingless-type MMTV integration site family, member 4
K00411	ubiquinol-cytochrome c reductase iron-sulfur subunit
K00412	ubiquinol-cytochrome c reductase cytochrome b subunit
K00413	ubiquinol-cytochrome c reductase cytochrome c1 subunit
K00415	ubiquinol-cytochrome c reductase core subunit 2
K00416	ubiquinol-cytochrome c reductase subunit 6
K00417	ubiquinol-cytochrome c reductase subunit 7
K00418	ubiquinol-cytochrome c reductase subunit 8
K00419	ubiquinol-cytochrome c reductase subunit 9
K00420	ubiquinol-cytochrome c reductase subunit 10
K00432	glutathione peroxidase
K00444	wingless-type MMTV integration site family, member 5
K00451	homogentisate 1,2-dioxygenase
K00452	3-hydroxyanthranilate 3,4-dioxygenase
K00453	tryptophan 2,3-dioxygenase
K00456	cysteine dioxygenase
K00457	4-hydroxyphenylpyruvate dioxygenase
K00463	indoleamine 2,3-dioxygenase
K00469	inositol oxygenase
K00471	gamma-butyrobetaine dioxygenase
K00472	prolyl 4-hydroxylase
K00474	trimethyllysine dioxygenase
K00477	phytanoyl-CoA hydroxylase
K00485	dimethylaniline monooxygenase (N-oxide forming) / hypotaurine monooxygenase
K00486	kynurenine 3-monooxygenase
K00500	phenylalanine-4-hydroxylase
K00501	tyrosine 3-monooxygenase
K00502	TPH1_tryptophan 5-monooxygenase
K00503	dopamine beta-monooxygenase
K00504	peptidylglycine monooxygenase
K00505	tyrosinase
K00507	stearoyl-CoA desaturase (Delta-9 desaturase)
K00515	beta-carotene 15,15'-dioxygenase
K00522	ferritin heavy chain
K00541	nicotinamide N-methyltransferase
K00547	homocysteine S-methyltransferase
K00548	5-methyltetrahydrofolate--homocysteine methyltransferase
K00555	tRNA (guanine26-N2/guanine27-N2)-dimethyltransferase
K00559	sterol 24-C-methyltransferase
K00562	methyltransferase
K00565	mRNA (guanine-N7-)-methyltransferase
K00567	methylated-DNA-[protein]-cysteine S-methyltransferase
K00572	wingless-type MMTV integration site family, member 7
K00573	E2.1.1.protein-L-isoaspartate(D-aspartate) O-methyltransferase
K00574	cyclopropane-fatty-acyl-phospholipid synthase
K00586	diphthine methyl ester synthase
K00587	protein-S-isoprenylcysteine O-methyltransferase
K00591	polyprenyldihydroxybenzoate methyltransferase / 3-demethylubiquinol 3-O-methyltransferase
K00597	methionine synthase reductase
K00599	tRNA N(3)-methylcytidine methyltransferase METTL6
K00600	glycine hydroxymethyltransferase
K00602	phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase
K00605	glycine cleavage system T protein (aminomethyltransferase)
K00615	E2.2.1.transketolase
K00616	transaldolase
K00621	glucosamine-phosphate N-acetyltransferase
K00623	choline O-acetyltransferase
K00624	E2.3.1.carnitine O-acetyltransferase
K00626	acetyl-CoA C-acetyltransferase
K00627	pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase)
K00629	GPAT1_glycerol-3-phosphate O-acyltransferase 1/2
K00637	sterol O-acyltransferase
K00639	glycine C-acetyltransferase
K00645	S-malonyltransferase
K00649	glyceronephosphate O-acyltransferase
K00654	serine palmitoyltransferase
K00658	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase)
K00665	fatty acid synthase, animal type
K00670	N-alpha-acetyltransferase 30
K00671	glycylpeptide N-tetradecanoyltransferase
K00681	gamma-glutamyltranspeptidase / glutathione hydrolase
K00682	gamma-glutamylcyclotransferase
K00683	glutaminyl-peptide cyclotransferase
K00685	arginyl-tRNA---protein transferase
K00688	glycogen phosphorylase
K00693	glycogen synthase
K00698	chitin synthase
K00699	glucuronosyltransferase
K00700	1,4-alpha-glucan branching enzyme
K00710	polypeptide N-acetylgalactosaminyltransferase
K00717	glycoprotein 6-alpha-L-fucosyltransferase
K00720	ceramide glucosyltransferase
K00721	dolichol-phosphate mannosyltransferase
K00726	alpha-1,3-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase
K00727	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase
K00729	dolichyl-phosphate beta-glucosyltransferase
K00731	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase
K00733	xylosylprotein 4-beta-galactosyltransferase
K00734	galactosylxylosylprotein 3-beta-galactosyltransferase
K00735	galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1
K00736	alpha-1,6-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase
K00738	MGAT4A_alpha-1,3-mannosylglycoprotein beta-1,4-N-acetylglucosaminyltransferase A/B
K00742	N-acetyllactosaminide beta-1,6-N-acetylglucosaminyltransferase
K00744	alpha-1,3(6)-mannosylglycoprotein beta-1,6-N-acetyl-glucosaminyltransferase
K00747	chondroitin polymerizing factor
K00750	glycogenin
K00753	E2.4.1.glycoprotein 3-alpha-L-fucosyltransferase
K00757	uridine phosphorylase
K00759	adenine phosphoribosyltransferase
K00760	hypoxanthine phosphoribosyltransferase
K00763	nicotinate phosphoribosyltransferase
K00764	amidophosphoribosyltransferase
K00771	protein xylosyltransferase
K00772	5'-methylthioadenosine phosphorylase
K00777	queuine tRNA-ribosyltransferase catalytic subunit
K00784	ribonuclease Z
K00787	farnesyl diphosphate synthase
K00789	S-adenosylmethionine synthetase
K00791	tRNA dimethylallyltransferase
K00797	spermidine synthase
K00798	cob(I)alamin adenosyltransferase
K00799	glutathione S-transferase
K00803	alkyldihydroxyacetonephosphate synthase
K00804	geranylgeranyl diphosphate synthase, type III
K00809	deoxyhypusine synthase
K00814	alanine transaminase
K00815	tyrosine aminotransferase
K00816	kynurenine---oxoglutarate transaminase / cysteine-S-conjugate beta-lyase / glutamine---phenylpyruvate transaminase
K00819	ornithine--oxo-acid transaminase
K00820	glutamine---fructose-6-phosphate transaminase (isomerizing)
K00826	E2.6.1.branched-chain amino acid aminotransferase
K00827	alanine-glyoxylate transaminase / (R)-3-amino-2-methylpropionate-pyruvate transaminase
K00830	alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase
K00831	phosphoserine aminotransferase
K00844	hexokinase
K00846	ketohexokinase
K00849	galactokinase
K00850	6-phosphofructokinase 1
K00851	gluconokinase
K00852	ribokinase
K00854	xylulokinase
K00856	adenosine kinase
K00857	thymidine kinase
K00858	NAD+ kinase
K00859	dephospho-CoA kinase
K00860	adenylylsulfate kinase
K00861	riboflavin kinase
K00863	triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing)
K00864	glycerol kinase
K00868	pyridoxine kinase
K00869	mevalonate kinase
K00871	phosphorylase kinase gamma subunit
K00873	pyruvate kinase
K00876	uridine kinase
K00884	N-acetylglucosamine kinase
K00888	phosphatidylinositol 4-kinase A
K00889	1-phosphatidylinositol-4-phosphate 5-kinase
K00894	ethanolamine kinase
K00898	PDK2_3_pyruvate dehydrogenase kinase 2/3/4
K00901	diacylglycerol kinase (ATP)
K00902	dolichol kinase
K00907	myosin-light-chain kinase
K00908	calcium/calmodulin-dependent protein kinase kinase 1
K00910	beta-adrenergic-receptor kinase
K00911	1D-myo-inositol-triphosphate 3-kinase
K00914	phosphatidylinositol 3-kinase
K00915	inositol-polyphosphate multikinase
K00920	1-phosphatidylinositol-5-phosphate 4-kinase
K00921	1-phosphatidylinositol-3-phosphate 5-kinase
K00922	PIK3CA_B_phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta
K00923	phosphatidylinositol-4-phosphate 3-kinase
K00927	phosphoglycerate kinase
K00934	E2.7.3.arginine kinase
K00939	adenylate kinase
K00940	nucleoside-diphosphate kinase
K00942	guanylate kinase
K00943	dTMP kinase
K00944	nucleoside-triphosphate--adenylate kinase
K00948	ribose-phosphate pyrophosphokinase
K00949	thiamine pyrophosphokinase
K00953	FAD synthetase
K00962	polyribonucleotide nucleotidyltransferase
K00963	UTP--glucose-1-phosphate uridylyltransferase
K00965	UDPglucose--hexose-1-phosphate uridylyltransferase
K00966	mannose-1-phosphate guanylyltransferase
K00967	ethanolamine-phosphate cytidylyltransferase
K00968	choline-phosphate cytidylyltransferase
K00972	UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine diphosphorylase
K00974	tRNA nucleotidyltransferase (CCA-adding enzyme)
K00976	fucose-1-phosphate guanylyltransferase
K00981	E2.7.7.phosphatidate cytidylyltransferase
K00993	ethanolaminephosphotransferase
K00995	CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase
K00999	CDP-diacylglycerol--inositol 3-phosphatidyltransferase
K01001	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase
K01008	selenide, water dikinase
K01011	thiosulfate/3-mercaptopyruvate sulfurtransferase
K01021	protein-tyrosine sulfotransferase
K01025	sulfotransferase
K01027	3-oxoacid CoA-transferase
K01044	carboxylesterase 1
K01045	arylesterase / paraoxonase
K01047	secretory phospholipase A2
K01049	acetylcholinesterase
K01050	cholinesterase
K01052	lysosomal acid lipase/cholesteryl ester hydrolase
K01057	6-phosphogluconolactonase
K01062	platelet-activating factor acetylhydrolase
K01068	ACOT1_2_acyl-coenzyme A thioesterase 1/2/4
K01069	hydroxyacylglutathione hydrolase
K01074	palmitoyl-protein thioesterase
K01076	abhydrolase domain-containing protein 17
K01077	E3.1.3.alkaline phosphatase
K01079	phosphoserine phosphatase
K01080	PLPP1_2_phosphatidate phosphatase
K01081	E3.1.3.5'-nucleotidase
K01082	3'(2'), 5'-bisphosphate nucleotidase
K01084	glucose-6-phosphatase
K01090	E3.1.3.protein phosphatase
K01092	E3.1.3.myo-inositol-1(or 4)-monophosphatase
K01099	INPP5B_inositol polyphosphate 5-phosphatase INPP5B/F
K01102	pyruvate dehydrogenase phosphatase
K01103	6-phosphofructo-2-kinase / fructose-2,6-biphosphatase 3
K01106	inositol polyphosphate 5-phosphatase INPP5A
K01110	phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN
K01112	phosphohistidine phosphatase
K01114	phospholipase C
K01115	PLD1_phospholipase D1/2
K01116	phosphatidylinositol phospholipase C, gamma-1
K01128	sphingomyelin phosphodiesterase acid-like 3
K01134	arylsulfatase A
K01148	poly(A)-specific ribonuclease
K01158	deoxyribonuclease II
K01164	ribonuclease P/MRP protein subunit POP1
K01166	ribonuclease T2
K01173	endonuclease G, mitochondrial
K01176	alpha-amylase
K01183	E3.2.1.chitinase
K01187	alpha-glucosidase
K01191	alpha-mannosidase
K01192	E3.2.1.beta-mannosidase
K01194	alpha,alpha-trehalase
K01195	beta-glucuronidase
K01196	glycogen debranching enzyme
K01197	hyaluronoglucosaminidase
K01201	glucosylceramidase
K01202	galactosylceramidase
K01203	sucrase-isomaltase
K01204	alpha-N-acetylgalactosaminidase
K01205	alpha-N-acetylglucosaminidase
K01206	alpha-L-fucosidase
K01227	mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase
K01228	mannosyl-oligosaccharide glucosidase
K01230	MAN1A_mannosyl-oligosaccharide alpha-1,2-mannosidase
K01231	alpha-mannosidase II
K01251	adenosylhomocysteinase
K01253	microsomal epoxide hydrolase
K01254	leukotriene-A4 hydrolase
K01255	leucyl aminopeptidase
K01262	Xaa-Pro aminopeptidase
K01265	methionyl aminopeptidase
K01267	aspartyl aminopeptidase
K01275	cathepsin C
K01277	dipeptidyl-peptidase III
K01278	dipeptidyl-peptidase 4
K01280	tripeptidyl-peptidase II
K01283	peptidyl-dipeptidase A
K01285	lysosomal Pro-X carboxypeptidase
K01294	carboxypeptidase E
K01298	carboxypeptidase A2
K01301	N-acetylated-alpha-linked acidic dipeptidase
K01302	carboxypeptidase Q
K01303	acylaminoacyl-peptidase
K01304	pyroglutamyl-peptidase
K01309	MINDY1_ubiquitin carboxyl-terminal hydrolase MINDY-1/2
K01310	chymotrypsin
K01311	chymotrypsin C
K01312	PRSS1_2_trypsin
K01322	prolyl oligopeptidase
K01346	pancreatic elastase II
K01349	furin
K01358	ATP-dependent Clp protease, protease subunit
K01360	proprotein convertase subtilisin/kexin type 2
K01362	ovochymase
K01363	cathepsin B
K01365	cathepsin L
K01369	legumain
K01371	cathepsin K
K01373	cathepsin F
K01376	Ufm1-specific protease 2
K01377	gastricsin
K01379	cathepsin D
K01381	saccharopepsin
K01382	cathepsin E
K01384	wingless-type MMTV integration site family, member 11
K01408	insulysin
K01409	N6-L-threonylcarbamoyladenine synthase
K01410	mitochondrial intermediate peptidase
K01412	mitochondrial-processing peptidase subunit alpha
K01414	oligopeptidase A
K01415	endothelin-converting enzyme
K01425	glutaminase
K01431	beta-ureidopropionase
K01432	arylformamidase
K01441	ACER1_alkaline ceramidase
K01443	N-acetylglucosamine-6-phosphate deacetylase
K01444	N4-(beta-N-acetylglucosaminyl)-L-asparaginase
K01456	E3.5.1.peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase
K01464	dihydropyrimidinase
K01468	imidazolonepropionase
K01469	5-oxoprolinase (ATP-hydrolysing)
K01482	dimethylargininase
K01488	adenosine deaminase
K01489	cytidine deaminase
K01490	AMP deaminase
K01493	dCMP deaminase
K01495	GTP cyclohydrolase IA
K01501	E3.5.5.nitrilase
K01511	ENTPD5_ectonucleoside triphosphate diphosphohydrolase 5/6
K01513	ENPP1_ectonucleotide pyrophosphatase/phosphodiesterase family member 1/3
K01515	ADP-ribose diphosphatase
K01518	bis(5'-nucleosidyl)-tetraphosphatase
K01519	XTP/dITP diphosphohydrolase
K01520	dUTP diphosphatase
K01522	bis(5'-adenosyl)-triphosphatase
K01528	DNM1_dynamin 1/3
K01530	E7.6.2.phospholipid-translocating ATPase
K01537	P-type Ca2+ transporter type 2C
K01539	sodium/potassium-transporting ATPase subunit alpha
K01540	sodium/potassium-transporting ATPase subunit beta
K01551	arsenite/tail-anchored protein-transporting ATPase
K01555	fumarylacetoacetase
K01556	kynureninase
K01557	acylpyruvate hydrolase
K01558	wingless-type MMTV integration site family, member 16
K01578	malonyl-CoA decarboxylase
K01580	E4.1.1.glutamate decarboxylase
K01581	E4.1.1.ornithine decarboxylase
K01587	phosphoribosylaminoimidazole carboxylase / phosphoribosylaminoimidazole-succinocarboxamide synthase
K01593	aromatic-L-amino-acid/L-tryptophan decarboxylase
K01596	E4.1.1.phosphoenolpyruvate carboxykinase (GTP)
K01597	diphosphomevalonate decarboxylase
K01598	phosphopantothenoylcysteine decarboxylase
K01611	S-adenosylmethionine decarboxylase
K01613	phosphatidylserine decarboxylase
K01619	deoxyribose-phosphate aldolase
K01620	threonine aldolase
K01623	fructose-bisphosphate aldolase, class I
K01634	sphinganine-1-phosphate aldolase
K01637	isocitrate/methylisocitrate lyase
K01640	hydroxymethylglutaryl-CoA lyase
K01641	hydroxymethylglutaryl-CoA synthase
K01647	citrate synthase
K01648	ATP citrate (pro-S)-lyase
K01669	deoxyribodipyrimidine photo-lyase
K01672	carbonic anhydrase
K01673	carbonic anhydrase
K01674	carbonic anhydrase
K01679	E4.2.1.fumarate hydratase, class II
K01681	aconitate hydratase
K01689	ENO1_2_enolase 1/2/3
K01697	cystathionine beta-synthase
K01711	GDPmannose 4,6-dehydratase
K01712	urocanate hydratase
K01724	4a-hydroxytetrahydrobiopterin dehydratase
K01725	cyanate lyase
K01737	6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase
K01738	cysteine synthase
K01745	histidine ammonia-lyase
K01754	E4.3.1.threonine dehydratase
K01756	adenylosuccinate lyase
K01758	cystathionine gamma-lyase
K01759	lactoylglutathione lyase
K01763	selenocysteine lyase
K01764	cytochrome c heme-lyase
K01769	E4.6.1.guanylate cyclase, other
K01772	protoporphyrin/coproporphyrin ferrochelatase
K01783	ribulose-phosphate 3-epimerase
K01784	UDP-glucose 4-epimerase
K01785	aldose 1-epimerase
K01790	dTDP-4-dehydrorhamnose 3,5-epimerase
K01793	heparosan-N-sulfate-glucuronate 5-epimerase
K01796	alpha-methylacyl-CoA racemase
K01800	maleylacetoacetate isomerase
K01802	E5.2.1.peptidylprolyl isomerase
K01803	triosephosphate isomerase (TIM)
K01807	ribose 5-phosphate isomerase A
K01809	mannose-6-phosphate isomerase
K01810	glucose-6-phosphate isomerase
K01816	hydroxypyruvate isomerase
K01823	isopentenyl-diphosphate Delta-isomerase
K01827	dopachrome tautomerase
K01835	phosphoglucomutase
K01836	phosphoacetylglucosamine mutase
K01847	methylmalonyl-CoA mutase
K01855	tRNA pseudouridine38/39 synthase
K01858	myo-inositol-1-phosphate synthase
K01866	tyrosyl-tRNA synthetase
K01867	tryptophanyl-tRNA synthetase
K01868	threonyl-tRNA synthetase
K01869	leucyl-tRNA synthetase
K01870	isoleucyl-tRNA synthetase
K01872	alanyl-tRNA synthetase
K01873	valyl-tRNA synthetase
K01874	methionyl-tRNA synthetase
K01875	seryl-tRNA synthetase
K01876	aspartyl-tRNA synthetase
K01880	glycyl-tRNA synthetase
K01881	prolyl-tRNA synthetase
K01883	cysteinyl-tRNA synthetase
K01885	glutamyl-tRNA synthetase
K01886	glutaminyl-tRNA synthetase
K01887	arginyl-tRNA synthetase
K01889	phenylalanyl-tRNA synthetase alpha chain
K01890	phenylalanyl-tRNA synthetase beta chain
K01892	histidyl-tRNA synthetase
K01893	asparaginyl-tRNA synthetase
K01895	ACSS1_acetyl-CoA synthetase
K01897	long-chain-fatty-acid---CoA ligase
K01899	succinyl-CoA synthetase alpha subunit
K01900	succinyl-CoA synthetase beta subunit
K01904	4-coumarate--CoA ligase
K01907	acetoacetyl-CoA synthetase
K01915	glutamine synthetase
K01922	phosphopantothenate---cysteine ligase (ATP)
K01930	folylpolyglutamate synthase
K01931	protein neuralized
K01934	5-formyltetrahydrofolate cyclo-ligase
K01937	CTP synthase
K01938	formate--tetrahydrofolate ligase
K01939	adenylosuccinate synthase
K01942	biotin---protein ligase
K01950	E6.3.5.NAD+ synthase (glutamine-hydrolysing)
K01951	GMP synthase (glutamine-hydrolysing)
K01952	phosphoribosylformylglycinamidine synthase
K01953	asparagine synthase (glutamine-hydrolysing)
K01958	pyruvate carboxylase
K01965	propionyl-CoA carboxylase alpha subunit
K01966	propionyl-CoA carboxylase beta subunit
K01968	3-methylcrotonyl-CoA carboxylase alpha subunit
K01969	3-methylcrotonyl-CoA carboxylase beta subunit
K01974	RNA 3'-terminal phosphate cyclase (ATP)
K01979	small subunit 18S ribosomal RNA
K01981	large subunit 5S ribosomal RNA
K01982	large subunit 28S/25S ribosomal RNA
K01986	LSU5.large subunit 5.8S ribosomal RNA
K02021	ABC.putative ABC transport system ATP-binding protein
K02084	apoptotic protease-activating factor
K02087	cyclin-dependent kinase 1
K02088	cyclin-dependent kinase 3
K02089	cyclin-dependent kinase 4
K02090	cyclin-dependent kinase 5
K02091	cyclin-dependent kinase 6
K02105	catenin beta 1
K02126	F-type H+-transporting ATPase subunit a
K02127	F-type H+-transporting ATPase subunit b
K02128	F-type H+-transporting ATPase subunit c
K02129	F-type H+-transporting ATPase subunit e
K02130	F-type H+-transporting ATPase subunit f
K02131	F-type H+-transporting ATPase subunit 6
K02132	F-type H+-transporting ATPase subunit alpha
K02133	F-type H+-transporting ATPase subunit beta
K02134	F-type H+-transporting ATPase subunit delta
K02135	F-type H+-transporting ATPase subunit epsilon
K02136	F-type H+-transporting ATPase subunit gamma
K02137	F-type H+-transporting ATPase subunit O
K02138	F-type H+-transporting ATPase subunit d
K02140	F-type H+-transporting ATPase subunit g
K02144	V-type H+-transporting ATPase subunit H
K02145	V-type H+-transporting ATPase subunit A
K02146	V-type H+-transporting ATPase subunit d
K02147	V-type H+-transporting ATPase subunit B
K02148	V-type H+-transporting ATPase subunit C
K02149	V-type H+-transporting ATPase subunit D
K02150	V-type H+-transporting ATPase subunit E
K02151	V-type H+-transporting ATPase subunit F
K02152	V-type H+-transporting ATPase subunit G
K02153	V-type H+-transporting ATPase subunit e
K02154	V-type H+-transporting ATPase subunit a
K02155	V-type H+-transporting ATPase 16kDa proteolipid subunit
K02156	aubergine
K02157	axin 1
K02175	beta-1,3-galactosyltransferase / beta-1,3-N-acetylglucosaminyltransferase
K02178	checkpoint serine/threonine-protein kinase
K02180	cell cycle arrest protein BUB3
K02183	calmodulin
K02186	caspase 2
K02187	caspase 3
K02202	cyclin-dependent kinase 7
K02206	cyclin-dependent kinase 2
K02207	ubiquitin-conjugating enzyme E2 R
K02208	CDK8_cyclin-dependent kinase 8/11
K02209	DNA replication licensing factor MCM5
K02210	DNA replication licensing factor MCM7
K02211	cyclin-dependent kinase 9
K02212	DNA replication licensing factor MCM4
K02213	cell division control protein 6
K02214	cell division control protein 7
K02216	serine/threonine-protein kinase CHEK1
K02218	casein kinase 1
K02222	secreted frizzled-related protein 5
K02256	cytochrome c oxidase subunit 1
K02257	heme o synthase
K02258	cytochrome c oxidase assembly protein subunit 11
K02259	heme a synthase
K02260	cytochrome c oxidase assembly protein subunit 17
K02261	cytochrome c oxidase subunit 2
K02262	cytochrome c oxidase subunit 3
K02263	cytochrome c oxidase subunit 4
K02264	cytochrome c oxidase subunit 5a
K02265	cytochrome c oxidase subunit 5b
K02266	cytochrome c oxidase subunit 6a
K02267	cytochrome c oxidase subunit 6b
K02268	cytochrome c oxidase subunit 6c
K02272	cytochrome c oxidase subunit 7c
K02296	aryl hydrocarbon receptor nuclear translocator-like protein 1
K02306	dally
K02318	phosphopantetheine adenylyltransferase / dephospho-CoA kinase
K02320	DNA polymerase alpha subunit A
K02321	DNA polymerase alpha subunit B
K02324	DNA polymerase epsilon subunit 1
K02325	DNA polymerase epsilon subunit 2
K02326	DNA polymerase epsilon subunit 3
K02327	DNA polymerase delta subunit 1
K02328	DNA polymerase delta subunit 2
K02331	DNA polymerase phi
K02332	DNA polymerase gamma 1
K02349	DNA polymerase theta
K02350	DNA polymerase zeta
K02353	segment polarity protein dishevelled
K02354	frizzled 4
K02355	elongation factor G
K02357	elongation factor Ts
K02358	elongation factor Tu
K02359	beta-1,4-mannosyltransferase
K02365	separase
K02366	glucuronyl/N-acetylglucosaminyl transferase EXT1
K02367	glucuronyl/N-acetylglucosaminyl transferase EXT2
K02370	alpha-1,4-N-acetylglucosaminyltransferase EXTL3
K02374	tyrosine-protein phosphatase non-receptor type 13
K02375	FZD5_frizzled 5/8
K02377	GDP-L-fucose synthase
K02427	23S rRNA (uridine2552-2'-O)-methyltransferase
K02432	FZD1_frizzled 1/7
K02433	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A
K02434	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B
K02435	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C
K02437	glycine cleavage system H protein
K02449	cyclin-dependent kinase 10
K02503	HINT1_histidine triad (HIT) family protein
K02513	heparan sulfate 2-O-sulfotransferase HS2ST1
K02514	heparan sulfate 6-O-sulfotransferase HS6ST1
K02516	type II protein arginine methyltransferase
K02519	translation initiation factor IF-2
K02537	mitotic spindle assembly checkpoint protein MAD2
K02540	DNA replication licensing factor MCM2
K02541	DNA replication licensing factor MCM3
K02542	DNA replication licensing factor MCM6
K02564	glucosamine-6-phosphate deaminase
K02576	heparan sulfate N-deacetylase/N-sulfotransferase NDST1
K02577	heparan sulfate N-deacetylase/N-sulfotransferase NDST2
K02583	tumor necrosis factor receptor superfamily member 16
K02599	Notch 1
K02602	cytoplasmic polyadenylation element-binding protein
K02603	origin recognition complex subunit 1
K02604	origin recognition complex subunit 2
K02606	origin recognition complex subunit 4
K02607	origin recognition complex subunit 5
K02649	PIK3R1_2_phosphoinositide-3-kinase regulatory subunit alpha/beta/delta
K02677	classical protein kinase C alpha type
K02678	C-ets-1
K02684	DNA primase small subunit
K02685	DNA primase large subunit
K02725	20S proteasome subunit alpha 6
K02726	20S proteasome subunit alpha 2
K02727	20S proteasome subunit alpha 7
K02728	20S proteasome subunit alpha 3
K02729	20S proteasome subunit alpha 5
K02730	20S proteasome subunit alpha 1
K02731	20S proteasome subunit alpha 4
K02732	20S proteasome subunit beta 6
K02734	20S proteasome subunit beta 4
K02735	20S proteasome subunit beta 3
K02736	20S proteasome subunit beta 7
K02737	20S proteasome subunit beta 5
K02738	20S proteasome subunit beta 1
K02739	20S proteasome subunit beta 2
K02830	cell cycle checkpoint protein
K02835	peptide chain release factor 1
K02838	ribosome recycling factor
