Level	Code	Description
C	05163	Human cytomegalovirus infection
C	05167	Kaposi sarcoma-associated herpesvirus infection
C	05169	Epstein-Barr virus infection
C	05165	Human papillomavirus infection
C	05110	Vibrio cholerae infection
C	05120	Epithelial cell signaling in Helicobacter pylori infection
C	05130	Pathogenic Escherichia coli infection
C	05132	Salmonella infection
C	05131	Shigellosis
C	05135	Yersinia infection
C	05133	Pertussis
C	05134	Legionellosis
C	05150	Staphylococcus aureus infection
C	05152	Tuberculosis
C	05100	Bacterial invasion of epithelial cells
C	05146	Amoebiasis
C	05144	Malaria
C	05145	Toxoplasmosis
C	05140	Leishmaniasis
C	05142	Chagas disease
C	05143	African trypanosomiasis
C	05310	Asthma
C	05322	Systemic lupus erythematosus
C	05323	Rheumatoid arthritis
C	05320	Autoimmune thyroid disease
C	05321	Inflammatory bowel disease
C	05330	Allograft rejection
C	05332	Graft-versus-host disease
C	05340	Primary immunodeficiency
C	05010	Alzheimer disease
C	05012	Parkinson disease
C	05014	Amyotrophic lateral sclerosis
C	05016	Huntington disease
C	05017	Spinocerebellar ataxia
C	05020	Prion disease
C	05022	Pathways of neurodegeneration - multiple diseases
C	05030	Cocaine addiction
C	05031	Amphetamine addiction
C	05032	Morphine addiction
C	05033	Nicotine addiction
C	05034	Alcoholism
C	05417	Lipid and atherosclerosis
C	05418	Fluid shear stress and atherosclerosis
C	05410	Hypertrophic cardiomyopathy
C	05412	Arrhythmogenic right ventricular cardiomyopathy
C	05414	Dilated cardiomyopathy
C	05415	Diabetic cardiomyopathy
C	05416	Viral myocarditis
C	04930	Type II diabetes mellitus
C	04940	Type I diabetes mellitus
C	04950	Maturity onset diabetes of the young
C	04936	Alcoholic liver disease
C	04932	Non-alcoholic fatty liver disease
C	04931	Insulin resistance
C	04933	AGE-RAGE signaling pathway in diabetic complications
C	04934	Cushing syndrome
C	01501	beta-Lactam resistance
C	01502	Vancomycin resistance
C	01503	Cationic antimicrobial peptide (CAMP) resistance
C	01521	EGFR tyrosine kinase inhibitor resistance
C	01524	Platinum drug resistance
C	01523	Antifolate resistance
C	01522	Endocrine resistance
A	09180	Brite Hierarchies
C	01000	Enzymes
C	01001	Protein kinases
C	01009	Protein phosphatases and associated proteins
C	01002	Peptidases and inhibitors
C	01003	Glycosyltransferases
C	01005	Lipopolysaccharide biosynthesis proteins
C	01011	Peptidoglycan biosynthesis and degradation proteins
C	01004	Lipid biosynthesis proteins
C	01008	Polyketide biosynthesis proteins
C	01006	Prenyltransferases
C	01007	Amino acid related enzymes
C	00199	Cytochrome P450
C	00194	Photosynthesis proteins
C	03000	Transcription factors
C	03021	Transcription machinery
C	03019	Messenger RNA biogenesis
C	03041	Spliceosome
C	03011	Ribosome
C	03009	Ribosome biogenesis
C	03016	Transfer RNA biogenesis
C	03012	Translation factors
C	03110	Chaperones and folding catalysts
C	04131	Membrane trafficking
C	04121	Ubiquitin system
C	03051	Proteasome
C	03032	DNA replication proteins
C	03036	Chromosome and associated proteins
C	03400	DNA repair and recombination proteins
C	03029	Mitochondrial biogenesis
C	02000	Transporters
C	02044	Secretion system
C	02042	Bacterial toxins
C	02022	Two-component system
C	02035	Bacterial motility proteins
C	03037	Cilium and associated proteins
C	04812	Cytoskeleton proteins
C	04147	Exosome
C	02048	Prokaryotic defense system
C	04030	G protein-coupled receptors
C	04050	Cytokine receptors
C	04054	Pattern recognition receptors
C	03310	Nuclear receptors
C	04040	Ion channels
C	04031	GTP-binding proteins
C	04052	Cytokines and neuropeptides
C	04515	Cell adhesion molecules
C	04090	CD molecules
C	01504	Antimicrobial resistance genes
C	00535	Proteoglycans
C	00536	Glycosaminoglycan binding proteins
C	00537	Glycosylphosphatidylinositol (GPI)-anchored proteins
C	04091	Lectins
C	04990	Domain-containing proteins not elsewhere classified
C	03200	Viral proteins
C	03210	Viral fusion proteins
C	03100	Non-coding RNAs
A	09190	Not Included in Pathway or Brite
C	99980	Enzymes with EC numbers
C	99981	Carbohydrate metabolism
C	99982	Energy metabolism
C	99983	Lipid metabolism
C	99984	Nucleotide metabolism
C	99985	Amino acid metabolism
C	99986	Glycan metabolism
C	99987	Cofactor metabolism
C	99988	Secondary metabolism
C	99999	Others
C	99973	Transcription
C	99974	Translation
C	99975	Protein processing
C	99976	Replication and repair
C	99979	Viral proteins
C	99998	Others
C	99977	Transport
C	99978	Cell growth
C	99993	Cell motility
C	99995	Signaling proteins
C	99992	Structural proteins
C	99994	Others
C	99996	General function prediction only
C	99997	Function unknown
